date,mid_price,ask_price,bid_price
2024-04-05 11:41:00,1.36138,1.36138,1.36138
2024-04-05 11:42:00,1.36151,1.36151,1.36151
2024-04-05 11:44:00,1.36151,1.36151,1.36151
2024-04-05 11:45:00,1.36125,1.36125,1.36125
2024-04-05 11:47:00,1.36145,1.36145,1.36145
2024-04-05 11:48:00,1.36125,1.36125,1.36125
2024-04-05 11:50:00,1.36069,1.36069,1.36069
2024-04-05 11:51:00,1.36049,1.36049,1.36049
2024-04-05 11:53:00,1.36043,1.36043,1.36043
2024-04-05 11:54:00,1.3604,1.3604,1.3604
2024-04-05 11:55:00,1.36062,1.36062,1.36062
2024-04-05 11:57:00,1.3604,1.3604,1.3604
2024-04-05 11:58:00,1.36025,1.36025,1.36025
2024-04-05 12:00:00,1.36045,1.36045,1.36045
2024-04-05 12:01:00,1.36012,1.36012,1.36012
2024-04-05 12:03:00,1.36016,1.36016,1.36016
2024-04-05 12:04:00,1.36003,1.36003,1.36003
2024-04-05 12:06:00,1.35955,1.35955,1.35955
2024-04-05 12:07:00,1.35958,1.35958,1.35958
2024-04-05 12:08:00,1.35938,1.35938,1.35938
2024-04-05 12:10:00,1.35921,1.35921,1.35921
2024-04-05 12:11:00,1.35923,1.35923,1.35923
2024-04-05 12:13:00,1.35934,1.35934,1.35934
2024-04-05 12:14:00,1.35951,1.35951,1.35951
2024-04-05 12:16:00,1.35975,1.35975,1.35975
2024-04-05 12:17:00,1.35988,1.35988,1.35988
2024-04-05 12:19:00,1.35977,1.35977,1.35977
2024-04-05 12:20:00,1.36012,1.36012,1.36012
2024-04-05 12:22:00,1.3601,1.3601,1.3601
2024-04-05 12:23:00,1.36003,1.36003,1.36003
2024-04-05 12:24:00,1.35956,1.35956,1.35956
2024-04-05 12:26:00,1.35942,1.35942,1.35942
2024-04-05 12:27:00,1.35951,1.35951,1.35951
2024-04-05 12:29:00,1.35925,1.35925,1.35925
2024-04-05 12:30:00,1.35925,1.35925,1.35925
2024-04-05 12:32:00,1.35923,1.35923,1.35923
2024-04-05 12:33:00,1.35919,1.35919,1.35919
2024-04-05 12:35:00,1.35945,1.35945,1.35945
2024-04-05 12:36:00,1.35894,1.35894,1.35894
2024-04-05 12:38:00,1.35857,1.35857,1.35857
2024-04-05 12:39:00,1.35855,1.35855,1.35855
2024-04-05 12:40:00,1.3587,1.3587,1.3587
2024-04-05 12:42:00,1.35851,1.35851,1.35851
2024-04-05 12:43:00,1.35871,1.35871,1.35871
2024-04-05 12:45:00,1.35855,1.35855,1.35855
2024-04-05 12:46:00,1.35851,1.35851,1.35851
2024-04-05 12:48:00,1.3586,1.3586,1.3586
2024-04-05 12:49:00,1.35862,1.35862,1.35862
2024-04-05 12:51:00,1.35851,1.35851,1.35851
2024-04-05 12:52:00,1.35849,1.35849,1.35849
2024-04-05 12:53:00,1.35849,1.35849,1.35849
2024-04-05 12:55:00,1.35844,1.35844,1.35844
2024-04-05 12:56:00,1.3584,1.3584,1.3584
2024-04-05 12:58:00,1.35833,1.35833,1.35833
2024-04-05 12:59:00,1.35822,1.35822,1.35822
2024-04-07 03:56:00,1.35873,1.35873,1.35873
2024-04-07 03:58:00,1.35873,1.35873,1.35873
2024-04-07 03:59:00,1.35873,1.35873,1.35873
2024-04-07 04:01:00,1.35873,1.35873,1.35873
2024-04-07 04:02:00,1.35873,1.35873,1.35873
2024-04-07 04:04:00,1.35873,1.35873,1.35873
2024-04-07 04:05:00,1.35882,1.35882,1.35882
2024-04-07 04:07:00,1.35884,1.35884,1.35884
2024-04-07 04:08:00,1.35882,1.35882,1.35882
2024-04-07 04:09:00,1.35877,1.35877,1.35877
2024-04-07 04:11:00,1.35875,1.35875,1.35875
2024-04-07 04:12:00,1.35877,1.35877,1.35877
2024-04-07 04:14:00,1.3594,1.3594,1.3594
2024-04-07 04:15:00,1.35943,1.35943,1.35943
2024-04-07 04:17:00,1.35927,1.35927,1.35927
2024-04-07 04:18:00,1.35945,1.35945,1.35945
2024-04-07 04:20:00,1.35947,1.35947,1.35947
2024-04-07 04:21:00,1.35947,1.35947,1.35947
2024-04-07 04:23:00,1.35949,1.35949,1.35949
2024-04-07 04:24:00,1.35949,1.35949,1.35949
2024-04-07 04:25:00,1.35942,1.35942,1.35942
2024-04-07 04:27:00,1.35949,1.35949,1.35949
2024-04-07 04:28:00,1.35949,1.35949,1.35949
2024-04-07 04:30:00,1.35942,1.35942,1.35942
2024-04-07 04:31:00,1.35945,1.35945,1.35945
2024-04-07 04:33:00,1.35945,1.35945,1.35945
2024-04-07 04:34:00,1.35945,1.35945,1.35945
2024-04-07 04:36:00,1.35947,1.35947,1.35947
2024-04-07 04:37:00,1.35951,1.35951,1.35951
2024-04-07 04:38:00,1.35951,1.35951,1.35951
2024-04-07 04:40:00,1.35936,1.35936,1.35936
2024-04-07 04:41:00,1.35934,1.35934,1.35934
2024-04-07 04:43:00,1.35943,1.35943,1.35943
2024-04-07 04:44:00,1.35943,1.35943,1.35943
2024-04-07 04:46:00,1.35943,1.35943,1.35943
2024-04-07 04:47:00,1.35947,1.35947,1.35947
2024-04-07 04:49:00,1.35943,1.35943,1.35943
2024-04-07 04:50:00,1.3594,1.3594,1.3594
2024-04-07 04:52:00,1.35943,1.35943,1.35943
2024-04-07 04:53:00,1.35943,1.35943,1.35943
2024-04-07 04:54:00,1.35943,1.35943,1.35943
2024-04-07 04:56:00,1.35943,1.35943,1.35943
2024-04-07 04:57:00,1.35943,1.35943,1.35943
2024-04-07 04:59:00,1.35943,1.35943,1.35943
2024-04-07 05:00:00,1.35942,1.35942,1.35942
2024-04-07 05:02:00,1.35945,1.35945,1.35945
2024-04-07 05:03:00,1.35945,1.35945,1.35945
2024-04-07 05:05:00,1.35934,1.35934,1.35934
2024-04-07 05:06:00,1.35943,1.35943,1.35943
2024-04-07 05:08:00,1.35943,1.35943,1.35943
2024-04-07 05:09:00,1.35942,1.35942,1.35942
2024-04-07 05:10:00,1.35942,1.35942,1.35942
2024-04-07 05:12:00,1.35942,1.35942,1.35942
2024-04-07 05:13:00,1.35943,1.35943,1.35943
2024-04-07 05:15:00,1.35943,1.35943,1.35943
2024-04-07 05:16:00,1.35943,1.35943,1.35943
2024-04-07 05:18:00,1.35943,1.35943,1.35943
2024-04-07 05:19:00,1.35943,1.35943,1.35943
2024-04-07 05:21:00,1.35943,1.35943,1.35943
2024-04-07 05:22:00,1.35943,1.35943,1.35943
2024-04-07 05:23:00,1.35927,1.35927,1.35927
2024-04-07 05:25:00,1.35916,1.35916,1.35916
2024-04-07 05:26:00,1.35923,1.35923,1.35923
2024-04-07 05:28:00,1.35912,1.35912,1.35912
2024-04-07 05:29:00,1.35914,1.35914,1.35914
2024-04-07 05:31:00,1.35919,1.35919,1.35919
2024-04-07 05:32:00,1.35936,1.35936,1.35936
2024-04-07 05:34:00,1.35936,1.35936,1.35936
2024-04-07 05:35:00,1.35936,1.35936,1.35936
2024-04-07 05:37:00,1.35936,1.35936,1.35936
2024-04-07 05:38:00,1.35942,1.35942,1.35942
2024-04-07 05:39:00,1.35936,1.35936,1.35936
2024-04-07 05:41:00,1.35936,1.35936,1.35936
2024-04-07 05:42:00,1.35936,1.35936,1.35936
2024-04-07 05:44:00,1.35936,1.35936,1.35936
2024-04-07 05:45:00,1.35934,1.35934,1.35934
2024-04-07 05:47:00,1.35934,1.35934,1.35934
2024-04-07 05:48:00,1.35934,1.35934,1.35934
2024-04-07 05:50:00,1.35936,1.35936,1.35936
2024-04-07 05:51:00,1.35929,1.35929,1.35929
2024-04-07 05:53:00,1.35938,1.35938,1.35938
2024-04-07 05:54:00,1.35936,1.35936,1.35936
2024-04-07 05:55:00,1.35936,1.35936,1.35936
2024-04-07 05:57:00,1.35938,1.35938,1.35938
2024-04-07 05:58:00,1.35936,1.35936,1.35936
2024-04-07 06:00:00,1.35927,1.35927,1.35927
2024-04-07 06:01:00,1.35923,1.35923,1.35923
2024-04-07 06:03:00,1.35927,1.35927,1.35927
2024-04-07 06:04:00,1.35923,1.35923,1.35923
2024-04-07 06:06:00,1.35919,1.35919,1.35919
2024-04-07 06:07:00,1.35919,1.35919,1.35919
2024-04-07 06:08:00,1.35921,1.35921,1.35921
2024-04-07 06:10:00,1.35925,1.35925,1.35925
2024-04-07 06:11:00,1.35923,1.35923,1.35923
2024-04-07 06:13:00,1.35925,1.35925,1.35925
2024-04-07 06:14:00,1.35925,1.35925,1.35925
2024-04-07 06:16:00,1.35927,1.35927,1.35927
2024-04-07 06:17:00,1.35927,1.35927,1.35927
2024-04-07 06:19:00,1.35931,1.35931,1.35931
2024-04-07 06:20:00,1.35932,1.35932,1.35932
2024-04-07 06:22:00,1.35932,1.35932,1.35932
2024-04-07 06:23:00,1.35927,1.35927,1.35927
2024-04-07 06:24:00,1.35921,1.35921,1.35921
2024-04-07 06:26:00,1.35919,1.35919,1.35919
2024-04-07 06:27:00,1.35923,1.35923,1.35923
2024-04-07 06:29:00,1.35925,1.35925,1.35925
2024-04-07 06:30:00,1.35919,1.35919,1.35919
2024-04-07 06:32:00,1.35919,1.35919,1.35919
2024-04-07 06:33:00,1.35919,1.35919,1.35919
2024-04-07 06:35:00,1.35925,1.35925,1.35925
2024-04-07 06:36:00,1.35921,1.35921,1.35921
2024-04-07 06:38:00,1.35921,1.35921,1.35921
2024-04-07 06:39:00,1.35923,1.35923,1.35923
2024-04-07 06:40:00,1.35929,1.35929,1.35929
2024-04-07 06:42:00,1.35929,1.35929,1.35929
2024-04-07 06:43:00,1.35931,1.35931,1.35931
2024-04-07 06:45:00,1.35934,1.35934,1.35934
2024-04-07 06:46:00,1.35934,1.35934,1.35934
2024-04-07 06:48:00,1.35934,1.35934,1.35934
2024-04-07 06:49:00,1.35934,1.35934,1.35934
2024-04-07 06:51:00,1.3594,1.3594,1.3594
2024-04-07 06:52:00,1.35938,1.35938,1.35938
2024-04-07 06:53:00,1.35938,1.35938,1.35938
2024-04-07 06:55:00,1.35938,1.35938,1.35938
2024-04-07 06:56:00,1.35934,1.35934,1.35934
2024-04-07 06:58:00,1.35938,1.35938,1.35938
2024-04-07 06:59:00,1.35969,1.35969,1.35969
2024-04-07 07:01:00,1.35997,1.35997,1.35997
2024-04-07 07:02:00,1.35975,1.35975,1.35975
2024-04-07 07:04:00,1.3599,1.3599,1.3599
2024-04-07 07:05:00,1.35982,1.35982,1.35982
2024-04-07 07:07:00,1.35988,1.35988,1.35988
2024-04-07 07:08:00,1.3599,1.3599,1.3599
2024-04-07 07:09:00,1.35992,1.35992,1.35992
2024-04-07 07:11:00,1.35993,1.35993,1.35993
2024-04-07 07:12:00,1.36012,1.36012,1.36012
2024-04-07 07:14:00,1.36008,1.36008,1.36008
2024-04-07 07:15:00,1.36008,1.36008,1.36008
2024-04-07 07:17:00,1.3601,1.3601,1.3601
2024-04-07 07:18:00,1.36008,1.36008,1.36008
2024-04-07 07:20:00,1.36014,1.36014,1.36014
2024-04-07 07:21:00,1.36012,1.36012,1.36012
2024-04-07 07:23:00,1.36016,1.36016,1.36016
2024-04-07 07:24:00,1.36014,1.36014,1.36014
2024-04-07 07:25:00,1.3601,1.3601,1.3601
2024-04-07 07:27:00,1.36003,1.36003,1.36003
2024-04-07 07:28:00,1.36003,1.36003,1.36003
2024-04-07 07:30:00,1.35999,1.35999,1.35999
2024-04-07 07:31:00,1.36003,1.36003,1.36003
2024-04-07 07:33:00,1.35995,1.35995,1.35995
2024-04-07 07:34:00,1.35997,1.35997,1.35997
2024-04-07 07:36:00,1.35999,1.35999,1.35999
2024-04-07 07:37:00,1.35995,1.35995,1.35995
2024-04-07 07:38:00,1.36003,1.36003,1.36003
2024-04-07 07:40:00,1.35999,1.35999,1.35999
2024-04-07 07:41:00,1.35999,1.35999,1.35999
2024-04-07 07:43:00,1.36003,1.36003,1.36003
2024-04-07 07:44:00,1.36017,1.36017,1.36017
2024-04-07 07:46:00,1.36029,1.36029,1.36029
2024-04-07 07:47:00,1.36036,1.36036,1.36036
2024-04-07 07:49:00,1.3603,1.3603,1.3603
2024-04-07 07:50:00,1.36034,1.36034,1.36034
2024-04-07 07:52:00,1.36034,1.36034,1.36034
2024-04-07 07:53:00,1.3604,1.3604,1.3604
2024-04-07 07:54:00,1.36038,1.36038,1.36038
2024-04-07 07:56:00,1.3604,1.3604,1.3604
2024-04-07 07:57:00,1.36029,1.36029,1.36029
2024-04-07 07:59:00,1.36019,1.36019,1.36019
2024-04-07 08:00:00,1.36017,1.36017,1.36017
2024-04-07 08:02:00,1.36008,1.36008,1.36008
2024-04-07 08:03:00,1.36003,1.36003,1.36003
2024-04-07 08:05:00,1.35999,1.35999,1.35999
2024-04-07 08:06:00,1.35984,1.35984,1.35984
2024-04-07 08:08:00,1.35982,1.35982,1.35982
2024-04-07 08:09:00,1.35973,1.35973,1.35973
2024-04-07 08:10:00,1.35975,1.35975,1.35975
2024-04-07 08:12:00,1.35979,1.35979,1.35979
2024-04-07 08:13:00,1.35984,1.35984,1.35984
2024-04-07 08:15:00,1.35986,1.35986,1.35986
2024-04-07 08:16:00,1.35993,1.35993,1.35993
2024-04-07 08:18:00,1.35992,1.35992,1.35992
2024-04-07 08:19:00,1.35992,1.35992,1.35992
2024-04-07 08:21:00,1.35993,1.35993,1.35993
2024-04-07 08:22:00,1.35995,1.35995,1.35995
2024-04-07 08:23:00,1.36003,1.36003,1.36003
2024-04-07 08:25:00,1.36006,1.36006,1.36006
2024-04-07 08:26:00,1.36012,1.36012,1.36012
2024-04-07 08:28:00,1.36019,1.36019,1.36019
2024-04-07 08:29:00,1.36021,1.36021,1.36021
2024-04-07 08:31:00,1.36014,1.36014,1.36014
2024-04-07 08:32:00,1.36014,1.36014,1.36014
2024-04-07 08:34:00,1.36023,1.36023,1.36023
2024-04-07 08:35:00,1.36027,1.36027,1.36027
2024-04-07 08:37:00,1.36021,1.36021,1.36021
2024-04-07 08:38:00,1.36021,1.36021,1.36021
2024-04-07 08:39:00,1.36016,1.36016,1.36016
2024-04-07 08:41:00,1.36012,1.36012,1.36012
2024-04-07 08:42:00,1.36012,1.36012,1.36012
2024-04-07 08:44:00,1.3601,1.3601,1.3601
2024-04-07 08:45:00,1.36027,1.36027,1.36027
2024-04-07 08:47:00,1.36027,1.36027,1.36027
2024-04-07 08:48:00,1.36045,1.36045,1.36045
2024-04-07 08:50:00,1.36056,1.36056,1.36056
2024-04-07 08:51:00,1.36045,1.36045,1.36045
2024-04-07 08:53:00,1.36047,1.36047,1.36047
2024-04-07 08:54:00,1.36047,1.36047,1.36047
2024-04-07 08:55:00,1.36045,1.36045,1.36045
2024-04-07 08:57:00,1.36047,1.36047,1.36047
2024-04-07 08:58:00,1.36045,1.36045,1.36045
2024-04-07 09:00:00,1.36075,1.36075,1.36075
2024-04-07 09:01:00,1.3609,1.3609,1.3609
2024-04-07 09:03:00,1.36086,1.36086,1.36086
2024-04-07 09:04:00,1.36093,1.36093,1.36093
2024-04-07 09:06:00,1.36097,1.36097,1.36097
2024-04-07 09:07:00,1.36112,1.36112,1.36112
2024-04-07 09:08:00,1.36114,1.36114,1.36114
2024-04-07 09:10:00,1.36119,1.36119,1.36119
2024-04-07 09:11:00,1.36123,1.36123,1.36123
2024-04-07 09:13:00,1.36121,1.36121,1.36121
2024-04-07 09:14:00,1.36127,1.36127,1.36127
2024-04-07 09:16:00,1.36121,1.36121,1.36121
2024-04-07 09:17:00,1.36119,1.36119,1.36119
2024-04-07 09:19:00,1.36125,1.36125,1.36125
2024-04-07 09:20:00,1.36141,1.36141,1.36141
2024-04-07 09:22:00,1.3614,1.3614,1.3614
2024-04-07 09:23:00,1.36125,1.36125,1.36125
2024-04-07 09:24:00,1.36136,1.36136,1.36136
2024-04-07 09:26:00,1.36136,1.36136,1.36136
2024-04-07 09:27:00,1.36147,1.36147,1.36147
2024-04-07 09:29:00,1.36149,1.36149,1.36149
2024-04-07 09:30:00,1.36141,1.36141,1.36141
2024-04-07 09:32:00,1.36141,1.36141,1.36141
